,marketCap
ANPC,21516000
ANSS,34568683520
ANTE,37370340
ANTM,106897580032
ANVS,193273744
ANY,119265200
ANZU,415225024
AOD,1073269184
AOMR,447322656
AON,68253708288
AOS,13311429632
AOSL,1137837184
AOUT,345145344
AP,96169168
APA,11222018048
APAM,3947838720
APD,68957519872
APDN,38553520
APEI,466777504
APEN,273602304
APG,5002254336
APGB,847837504
APH,50779430912
API,3144738816
APLE,3532646656
APLS,3660189696
APLT,363965920
APM,76985552
APO,17637658624
APOG,1193919872
APP,37185703936
APPF,4385587200
APPH,577206656
APPN,6121655808
APPS,6068333056
APR,1070287168
APRE,99156344
APRN,143685968
APSG,1003652800
APT,68851528
APTO,226310112
APTS,707586240
APTV,46708961280
APTX,160057584
APVO,43827972
APWC,37520484
APYX,559381760
AQB,250709072
AQMS,134724752
AQN,8776859648
AQST,217229008
AQUA,5406290944
AR,6141249536
ARAV,80532600
ARAY,511211200
ARBG,281692512
ARC,131964320
ARCB,2841779712
ARCC,9228979200
ARCE,1044639040
ARCH,1253198592
ARCO,1087110144
ARCT,943319552
ARDC,374798400
ARDS,32123848
ARDX,107570576
ARE,30429011968
AREC,128909736
ARES,14087700480
ARGO,2060325760
ARGX,15541308416
ARI,2051398912
ARKO,1260455680
ARKR,61947932
ARL,191724240
ARLO,625414208
ARLP,1329645696
ARMK,9473341440
ARMP,86640456
ARNA,3611120384
ARNC,3439350272
AROC,1249377920
AROW,574227776
ARQT,996433664
ARR,730258112
ARRW,350031232
ARRY,3345656832
ARTL,18982262
ARTLW,513649
ARTNA,409118176
ARTW,17466858
ARVL,8001272320
ARVN,3996449280
ARW,9330597888
ARWR,6729095168
ARYD,196067584
ASA,435758848
ASAI,7482503680
ASAN,21849649152
ASAQ,306874976
ASB,3575707136
ASC,131674832
ASG,427283872
ASGI,75768656
ASGN,6853635584
ASH,6543205376
ASIX,1382077696
ASLE,760632064
ASLN,116447496
ASM,106879736
ASMB,109230304
ASML,354620014592
ASND,8447986176
ASO,4423558144
ASPC,282335424
ASPN,1724893312
ASPS,210105472
ASPU,116767864
ASR,6120000000
ASRT,66474060
ASRV,64520820
ASTC,44721852
ASTE,1607074560
ASTS,617393984
ASUR,168069328
ASX,16256962560
ASXC,408136736
ASYS,219225760
ASZ,1935944320
ATA,146160000
ATAQ,189016384
ATAX,401436416
ATC,4880226304
ATCO,3473864960
ATCX,338031904
ATEC,1173501568
ATEN,1261342080
ATER,208689744
ATEX,1086634496
ATGE,1598137984
ATH,16530164736
ATHA,589607552
ATHE,39943640
ATHM,4827977728
ATHN,250312496
ATHX,277608768
ATI,2177079296
ATIF,203909120
ATKR,4951675392
ATLC,1202429312
ATLO,224964272
ATMR,427368736
ATNF,100866712
ATNI,677606272
ATNM,160953344
ATNX,198714496
ATO,12497470464
ATOM,692276864
ATOS,296622912
ATR,8738766848
ATRA,1429303936
ATRC,3436813824
ATRI,1429590272
ATRO,424631040
ATRS,592480960
ATSG,2038356352
ATTO,369749984
ATUS,7938705920
ATVC,337065024
ATVI,55867527168
ATXI,22440780
ATY,242299056
AU,8760942592
AUB,2869927680
AUBN,120755936
AUD,435072480
AUDC,1248454528
AUGX,108100272
AUMN,79252864
AUPH,3566581504
AURC,348954592
AUS,970681856
AUTL,472453152
AUTO,39207316
AUUD,26084058
AUVI,48893884
AUY,4388416000
AVA,2787825152
AVAH,1377546752
AVAL,6279191040
AVAN,737249984
AVAV,2247905792
AVB,34215786496
AVCO,87667544
AVCT,35742400
AVD,525471776
AVDL,643071168
AVEO,239151168
AVGO,231405649920
AVGR,64295520
AVID,1542654848
AVIR,934513216
AVK,665300608
AVLR,13234248704
AVNS,1634410112
AVNT,5455932416
AVNW,350667520
AVO,1419953024
AVRO,214677744
AVT,3971124736
AVTR,22808166400
AVXL,1512139776
AVY,18763059200
AVYA,1720850560
AWF,1077871232
AWH,275946880
AWI,5391369216
AWK,31760687104
AWP,561984640
AWR,3428479232
AWRE,67706736
AWX,16572578
AX,3530010368
AXDX,388239840
AXGN,478303488
AXL,1125430784
AXLA,116562216
AXNX,2761251328
AXON,11564520448
AXP,145783422976
AXR,99373680
AXS,4536366080
AXSM,1406384896
AXTA,7663956992
AXTI,380098560
AXU,324719712
AY,4414746624
AYI,7835907072
AYLA,145658944
AYRO,90359824
AYTU,55878732
AYX,4829288960
AZEK,7326730752
AZN,151306436608
AZO,41624555520
AZPN,10119256064
AZRE,1125376640
AZUL,1734083200
AZYO,53192740
AZZ,1408327552
B,2224937472
BA,133810372608
BABA,456106868736
BAC,401494081536
BAH,12104271872
BAK,7071098880
BALY,2002266368
BAM,92658171904
BANC,1093307264
BAND,1983025152
BANF,2207566080
BANR,2149112064
BANX,145607312
BAOS,46232064
BAP,10039262208
BATL,196506112
BATRA,1593032832
BATRK,1603654656
BAX,39971704832
BB,6081248768
BBAR,755614016
BBBY,2359649792
BBCP,515952736
BBD,39823974400
BBDC,740031424
BBDO,37882732544
BBGI,66889296
BBI,23970428
BBIG,167916208
BBIO,7246245376
BBL,128667983872
BBLG,108285032
BBN,1504258688
BBQ,126767328
BBSI,591986304
BBU,3987563264
BBVA,43855376384
BBW,287367648
BBY,33463193600
BC,8003998720
BCAB,932481728
BCAC,73898928
BCACU,24840090
BCAT,2242561536
BCBP,261613456
BCC,2730309376
BCDA,40304640
BCE,46442934272
BCEL,191847760
BCH,9712784384
BCLI,110045360
BCML,210742560
BCO,3382290688
BCOR,870523264
BCOV,414786688
BCOW,54310656
BCPC,5425714688
BCRX,2102143616
BCS,45293379584
BCSF,993291008
BCTX,136585376
BCV,175024288
BCX,854015744
BCYC,1454271232
BDC,3043132928
BDJ,1908837248
BDL,61670008
BDN,2480872960
BDR,13623010
BDSI,314878432
BDSX,188295616
BDTX,277365600
BDX,71026475008
BE,5287201280
BEAM,5582186496
BECN,4173645824
BEDU,320814784
BEEM,281054112
BEKE,28962686976
BELFA,183380992
BELFB,173638288
BEN,18032513024
BENE,155938096
BEP,10498788352
BEPC,6797965312
BERY,9295959040
BEST,489132000
BFAM,8331774976
BFC,564052032
BFI,153045056
BFIN,164499616
BFK,680447808
BFLY,1515048448
BFRA,127997000
BFS,1202964992
BFST,578025280
BFZ,463230304
BG,13688973312
BGB,623738368
BGCP,1813081600
BGFV,686538112
BGH,346109184
BGI,51504208
BGIO,57753632
BGNE,35606712320
BGR,295160192
BGS,2143294464
BGSF,158812640
BGSX,250032496
BGT,307455488
BGX,197479216
BGY,658784192
BH,470603200
BHAT,32070058
BHB,457832352
BHC,9558421504
BHE,935166208
BHF,4778571264
BHFAL,5464747520
BHFAP,4473103360
BHK,881777600
BHLB,1414232448
BHP,134212780032
BHR,253435056
BHSE,93375000
BHTG,33034740
BHV,29749288
BHVN,7576553984
BIDU,59089408000
BIF,1319779584
BIG,1710152064
BIGC,3979451136
BIIB,39806742528
BILI,33203281920
BILL,30872352768
